lni_edition,year,filename,label_research_software,label_justification,status
lni233,2014,27.pdf,1,"The article discusses the use of CSCL (Computer-Supported Collaborative Learning) scripts, which are defined as tools that facilitate learning interactions among students in a collaborative environment. These scripts are a form of research software as they involve algorithms and structured workflows designed to enhance educational outcomes in xMOOCs. Additionally, the article mentions the need for automated systems to support group formation and monitoring, indicating the development of software solutions for research purposes.",success
lni132,2008,305.pdf,0,"The article discusses a pedagogical approach to supervising thesis projects using agile methods and design patterns, but it does not mention any specific research software, source code, algorithms, or computational workflows created during the research process. The focus is on educational strategies rather than software development.",success
lni316,2021,DELFI_2021_193-198.pdf,1,"The article discusses the development of a measurement scenario within a learning application that involves the integration of a mobile app with a game (Minecraft) for educational purposes. It describes how data is collected through the application software, indicating the presence of software components created for research purposes. Additionally, the mention of specific applications and methods for measuring attention and flow suggests the use of algorithms or scripts, which qualifies as research software.",success
lni308,2020,151 DELFI2020_paper_62.pdf,1,"The article discusses the bwLehrpool platform, which is used for conducting electronic assessments and includes various software environments such as RStudio and SPSS. It mentions the use of specific software tools and configurations for examinations, indicating the presence of research software developed or utilized for educational and assessment purposes.",success
lni297,2019,DELFI2019_314_HandLeVR_-_Handlungsorientiertes_Lernen_in_der_VR-Lackierwerkstatt.pdf,1,"The article discusses the development of a Virtual Reality (VR) training application as part of the HandLeVR project, which includes an authors' tool and a VR training application. These components imply the existence of software developed for educational purposes, specifically for training in vehicle painting techniques. The mention of challenges related to the physics of paint application and the use of a sensor-equipped input device further supports the presence of research software.",success
lni262,2016,107.pdf,1,"The article describes the development of a web-based learning game that utilizes various software components, including Node.js, Express.js, and OpenLayers, as well as a MySQL database for session data storage. These elements indicate the presence of research software created for the purpose of the study.",success
lni233,2014,13.pdf,0,"The article discusses the workload and learning behavior of students based on empirical studies but does not mention any research software, source code, algorithms, or computational workflows. It focuses on qualitative analysis and findings rather than software development or computational tools.",success
lni218,2013,155.pdf,0,"The article discusses a 1:1 notebook project in an educational context, focusing on pedagogical, material, and social dimensions of technology integration in classrooms. It mentions the use of software for educational purposes, but does not provide any specific details about research software, source code, algorithms, or computational workflows created during the research process.",success
lni37,2003,GI-Proceedings.37-23.pdf,1,"The article discusses the implementation of the eLearning tool CleverPHL, which is explicitly described as a software developed to support cognitive apprenticeship models in eLearning scenarios. It details the functionalities of CleverPHL, including its capture and replay capabilities, and mentions its development in collaboration with a framework, indicating that it includes source code and algorithms created for research purposes.",success
lni132,2008,431.pdf,1,"The article discusses the development of an integrated literature module for an e-learning platform, which involves the use of Visual Library .NET for searching catalog data. This indicates the presence of software components created for research purposes, specifically for managing and providing access to literature in an educational context.",success
lni132,2008,413.pdf,1,"The article discusses the CrePes software, which is explicitly mentioned as a tool developed for educational purposes, including algorithms and functionalities related to programming tasks. Additionally, the images on pages 4 and 6 show the software interface and examples of its use, indicating that it includes source code and computational workflows relevant to the research.",success
lni218,2013,263.pdf,0,"The article discusses the use of webinars in E-Learning and provides recommendations based on experiences from a specific project. It mentions the use of Adobe Connect for conducting webinars and Microsoft Expression for editing recordings, but it does not present any original research software, source code, algorithms, or computational workflows created for research purposes.",success
lni297,2019,DELFI2019_289_How_Are_You__Chatbot_-_Evaluating_Chatbots_in_Educational_Settings_-_Results_of_a_Literature_Review.pdf,0,"The article discusses the evaluation of pedagogical conversational agents and their methodologies but does not mention any specific research software, source code, algorithms, or computational workflows created during the research process. It focuses on literature review and evaluation methods rather than presenting or developing software.",success
lni297,2019,DELFI2019_351_EDUSPACE_-_Social_Media_Lernplattform_mit_Schwerpunkt_Inklusion.pdf,1,"The article describes the development of the EDUSPACE platform, which is a web application built using the MERN stack (MongoDB, Express.js, React, Node.js). This indicates the presence of software components, including source code and algorithms, specifically designed for educational purposes in an inclusive learning environment.",success
lni87,2006,GI-Proceedings-87-32.pdf,0,"The article discusses IT service management and the implementation of Service Level Management in higher education institutions, focusing on processes and organizational structures rather than presenting any specific research software, source code, or computational workflows.",success
lni132,2008,341.pdf,1,"The article discusses the APOSDLE e-learning system, which involves the development of software components such as the Privacy Enhancement Service and the Security Manager. It describes how these components process user data and support functionalities like activity recognition and cooperation among users, indicating the presence of research software developed for the project.",success
lni284,2018,proceedings_29.pdf,1,"The article discusses the development of a central collaboration and learning platform (vhs.cloud) designed for educational purposes, which implies the existence of software created for research and educational applications. This platform supports various digital learning formats and is intended for use by multiple educational institutions, indicating that it qualifies as research software.",success
lni37,2003,GI-Proceedings.37-19.pdf,0,"The article discusses quality assurance in eLearning and does not mention any specific research software, source code, algorithms, or computational workflows created for research purposes. It focuses on theoretical frameworks and existing quality standards rather than presenting or utilizing research software.",success
lni297,2019,DELFI2019_300_Quantitative_Methodenkompetenzen_im_Praxissemester_in_Lehramtsstudiengaengen.pdf,1,"The article describes an online self-learning course that utilizes the R-Commander, a tool from the statistical software R, to help students learn quantitative methods. The mention of R-Commander indicates the presence of research software used for statistical analysis and educational purposes.",success
lni52,2004,GI.-.Proceedings.52-27.pdf,1,"The article discusses a computer-based training program called 'Diagnose-KIT' that includes a simulation of a semi-automated manufacturing system for diagnostic training. It describes the development and evaluation of this software, indicating that it was created for research purposes in the context of technical education and training. The presence of a software prototype and its evaluation suggests that it qualifies as research software.",success
lni316,2021,DELFI_2021_229-240.pdf,0,"The article discusses the Design Cycle for Education (DC4E) as a model for designing blended and online education, but it does not mention any specific research software, source code, algorithms, or computational workflows created during the research process. The focus is on educational design rather than on software development.",success
lni111,2007,gi-proc-111-014.pdf,0,"The article discusses E-Teaching and E-Learning strategies in higher education but does not mention any specific research software, source code, algorithms, or computational workflows developed during the research process. It focuses on incentive systems and the integration of E-Learning into academic practices without providing evidence of software or tools created for research purposes.",success
lni262,2016,89.pdf,1,"The article describes the development of a Video-Lab for analyzing physical phenomena in videos, which includes interactive tools for extracting physical parameters. This indicates the presence of software created for research purposes, specifically for educational and experimental analysis in a classroom setting.",success
lni37,2003,GI-Proceedings.37-24.pdf,1,"The article discusses the use of Self-Authoring Tools and XML-based frameworks for the production of eLearning content, indicating the presence of software tools and frameworks developed for research and educational purposes. Additionally, it mentions the integration of these tools into Learning Content Management Systems (LCMS), which implies the existence of software components created for research applications.",success
lni338,2023,39.pdf,1,"The article describes a gamification system integrated into learning management systems (LMS) using JavaScript, and it mentions a base implementation available in an open repository, including code and an analysis tool. This indicates the presence of research software developed for educational purposes.",success
lni262,2016,331.pdf,1,"The article discusses the development of Campus.UP, a customizable digital learning and working environment that integrates various IT services and tools. It mentions the implementation of specific functionalities, such as creating workspaces and managing portfolios, which implies the use of software components and possibly source code developed for these purposes. Therefore, it can be classified as containing research software.",success
lni297,2019,DELFI2019_265_Virtual_Reality_as_an_E-Learning_tool_in_the_student-centered_vehicle_development_project_proTRon.pdf,1,"The article discusses the development of a Virtual Reality application (VRXP) as part of a student-centered project, which includes a detailed description of the software's design, development process, and features. It mentions the use of a game engine and proprietary open-source libraries, indicating that source code and algorithms were created for the research purpose of enhancing e-learning through VR technology.",success
lni338,2023,32.pdf,1,"The article discusses a novel approach to analyze eye tracking data in VR using machine learning, which implies the development of algorithms and models for image classification. It mentions the use of an annotation tool (makesense.ai) and the implementation of ResNet models for classification, indicating that software or scripts were likely created or utilized for the research purpose.",success
lni218,2013,251.pdf,0,"The article discusses success factors for Technology Mediated Learning Services and does not mention any specific research software, source code, algorithms, or computational workflows created during the research process. It focuses on qualitative assessments and expert evaluations rather than software development or computational tools.",success
lni356,2024,Rene-Wilzeck_Raphael-Zender.pdf,1,"The article discusses the development of a Virtual Reality (VR) system called TeachR, which is an open-source platform for simulating classroom scenarios. It mentions the integration of VR elements and the use of specific software tools (like Unity and Blender) for creating 3D models and animations. This indicates the presence of research software developed for educational purposes, thus classifying it as containing research software.",success
lni218,2013,293.pdf,1,"The article discusses the development of a computer-based diagnostic tool called 'otu.lea' specifically designed for functional illiterates. This indicates the presence of research software created for a research purpose, as it involves the implementation of algorithms and a software environment for usability testing.",success
lni356,2024,Andre-Cordes.pdf,1,"The article discusses the development and evaluation of a chatbot, specifically mentioning the use of the Botpress framework and various algorithms (e.g., K-Nearest Neighbors) for implementing the chatbot. Additionally, it references specific software versions and libraries (e.g., LangChain, Ollama) used in the research process, indicating the presence of research software components.",success
lni338,2023,47.pdf,1,"The article discusses DMT-Magic, a system for interactive E-Assessment that integrates with Jupyter Notebooks. It describes the implementation of DMT-Magic as a Jupyter Magic Command, which involves source code and scripts for dynamic assessment tasks. This indicates the presence of research software developed for educational purposes in the field of databases.",success
lni308,2020,381 DELFI2020_paper_94.pdf,1,"The article discusses TABBI, a tangible interface for educational chatbots, which integrates with the RASA chatbot framework. It mentions specific components like a Text-To-Speech module (Mozilla TTS) and an Automatic-Speech-Recognition module (Mozilla DeepSpeech), both of which are examples of research software used in the development and functionality of the chatbot interface.",success
lni153,2009,gi-proc-153-018.pdf,1,"The article discusses the development of XML-based tools and languages for creating eLearning content, specifically mentioning various authoring solutions and transformation tools that are part of the research process. It highlights the use of software tools for content creation, management, and transformation, indicating the presence of research software.",success
lni52,2004,GI.-.Proceedings.52-46.pdf,0,"The article discusses legal aspects of handling learning objects and metadata in e-learning platforms, but it does not mention any specific research software, source code, algorithms, or computational workflows created for research purposes.",success
lni247,2015,183.pdf,1,"The article discusses the development of a web-based platform called CrumbIT! for creating and managing learning paths using existing web content. This platform involves software components such as user interfaces, data management, and algorithms for linking learning objects, which qualifies as research software created for educational purposes.",success
lni356,2024,Paul-Christ.pdf,1,"The article discusses a generalized Automatic Item Generation (gAIG) process that involves the creation of a generator for generating item instances, which implies the development of algorithms and potentially source code for the automatic generation of tasks in conceptual modeling. This indicates the presence of research software related to the computational processes described.",success
lni207,2012,261.pdf,1,"The article discusses the design and implementation of an IT artifact (a tablet-PC system) that supports collaborative learning in financial advisory contexts. It outlines design guidelines and evaluates a prototype system, indicating that software was developed for research purposes to facilitate situated learning in advisory situations.",success
lni316,2021,DELFI_2021_371-372.pdf,1,"The article discusses the development of a system architecture for a learning platform, specifically mentioning a 'Backend-Adapter' as part of the yUOShi system, which is described as a core component of the software. It involves a Meteor-React application and middleware for communication with Learning Management Systems (LMS), indicating the presence of software components created for research purposes.",success
lni356,2024,Armin-Egetenmeier_Sven-Strickroth.pdf,0,"The article discusses the challenges faced by computer science tutors and the use of educational technology in their teaching practices. While it mentions various tools and systems used by tutors, it does not provide any specific details about research software, source code, algorithms, or computational workflows developed during the research process.",success
lni284,2018,proceedings_15.pdf,1,"The article discusses an automatic generator for creating multiple-choice questions related to code understanding, which implies the existence of algorithms and potentially source code used in the generation process. The text describes the implementation of a generator that automates the creation of tasks based on Java code, indicating that research software was developed for this purpose.",success
lni188,2011,91.pdf,1,"The article discusses the development of software tools specifically designed for recording and editing educational videos, including a program for background subtraction and a software that controls the recording process. These tools are integral to the research and teaching methods described, indicating the presence of research software.",success
lni153,2009,gi-proc-153-023.pdf,1,"The article discusses the implementation of a security and rights management system for electronic examinations, which involves the development of a software proxy and mentions existing systems like KLAUSIE that are based on PHP and MySQL. The detailed description of the architecture and functionalities indicates that research software, including algorithms and systems for managing electronic exams, is a significant part of the research.",success
