lni_edition,year,filename,label_research_software,label_justification,status
lni111,2007,gi-proc-111-001.pdf,1,"The article discusses the implementation of computer-supported collaborative learning (CSCL) scripts, specifically mentioning the development of a CSCL platform (CURE) that includes executable components for running these scripts. It details the modeling and execution of CSCL scripts, which implies the presence of algorithms and potentially source code related to these implementations.",success
lni111,2007,gi-proc-111-002.pdf,1,"The article discusses the Optimal-Matching algorithm and its application in analyzing E-Learning processes, specifically mentioning a software implementation called 'Transition Data Analysis' (TDA) that utilizes this algorithm. This indicates the presence of research software developed for the purpose of the study.",success
lni111,2007,gi-proc-111-003.pdf,1,"The article discusses the EDL-Editor application, which is designed for the automatic editing of lecture videos. It describes algorithms and functionalities for video analysis, including the identification of cut positions and the integration of a user interface for manual corrections. This indicates the presence of software developed specifically for research purposes, thus classifying it as containing research software.",success
lni111,2007,gi-proc-111-004.pdf,1,"The article discusses the development of a collaborative notetaking system that allows for various input modalities, including handwritten input and typed input. It mentions specific systems and tools that have been developed for notetaking in eLearning, indicating that software was created or utilized for research purposes. Additionally, the implications for the design of notetaking systems suggest that software development is a key component of the research.",success
lni111,2007,gi-proc-111-005.pdf,0,"The article discusses Open Educational Resources (OER) and their implications in educational contexts, but it does not mention any specific research software, source code, algorithms, or computational workflows created for research purposes.",success
lni111,2007,gi-proc-111-006.pdf,1,"The article discusses the use of a learning platform and a content management system (CMS) to support e-learning, which implies the existence of software tools developed or utilized for research purposes. It mentions the need for suitable software to document and analyze information about learners, indicating that software was integral to the research process.",success
lni111,2007,gi-proc-111-007.pdf,1,"The article describes the development of a Self-Assessment tool implemented using modern web technologies, including PHP, JavaScript, and MySQL, which indicates the presence of software created for research purposes. The tool is designed for educational assessment and involves algorithms for evaluating user responses, thus qualifying as research software.",success
lni111,2007,gi-proc-111-008.pdf,1,"The article discusses 'MatES', an e-learning tool designed for teaching mathematics, which includes a graphical user interface, a semantic search engine, and a multimedia knowledge database. The implementation and functionality of MatES indicate that it qualifies as research software, as it was developed for educational purposes and involves computational workflows.",success
lni111,2007,gi-proc-111-009.pdf,1,"The article discusses the development of CaseML, a markup language designed for creating and managing multimedia case studies in an educational context. This involves the creation of a structured framework for case studies, which implies the existence of algorithms and possibly scripts for transforming case study content into various formats (HTML, LaTeX, etc.). Additionally, the implementation of CaseML and its functionalities suggests that there are computational workflows involved, indicating the presence of research software.",success
lni111,2007,gi-proc-111-010.pdf,0,"The article discusses various system categories for content creation and management in eLearning but does not mention any specific research software, source code, algorithms, or computational workflows developed during the research process. It focuses on theoretical aspects and challenges of content migration rather than presenting any software or tools created for research purposes.",success
lni111,2007,gi-proc-111-011.pdf,1,"The article discusses the development of 'eduDocBook' as a structured format for educational content, which includes the use of a build tool based on open-source software. It also mentions the CourseComposer application, which allows users to create and reconfigure learning media, indicating the presence of software tools developed for research purposes.",success
lni111,2007,gi-proc-111-012.pdf,1,"The article discusses the implementation of an Authoring Management System (AMS) designed to support the creation of e-learning content. It describes the architecture and functionalities of the system, which includes integrated tools for content modeling and production. The mention of a web-based platform and the integration of various authoring tools indicates that software was developed as part of the research process to facilitate content creation, thus qualifying as research software.",success
lni111,2007,gi-proc-111-013.pdf,1,"The article discusses a tool developed for analyzing log files from an eLecture portal, which indicates the creation of software for research purposes. The text describes the functionality of this tool, including its ability to clean data and generate graphical reports, which aligns with the definition of research software.",success
lni111,2007,gi-proc-111-014.pdf,0,"The article discusses E-Teaching and E-Learning strategies in higher education but does not mention any specific research software, source code, algorithms, or computational workflows created during the research process. It focuses on incentive systems and the integration of E-Learning into academic practices without providing evidence of any software development or research software.",success
lni111,2007,gi-proc-111-015.pdf,0,"The article discusses organizational models and strategies for implementing E-Learning at a university but does not mention any specific research software, source code, algorithms, or computational workflows created during the research process.",success
lni111,2007,gi-proc-111-016.pdf,1,"The article discusses the implementation of the IMS Question & Test Interoperability Specification (QTI) in the system 'ECQuiz', detailing the development of software components necessary for exporting and importing tests without information loss. It mentions specific coding efforts and the integration of various specifications, indicating the presence of research software related to educational assessment.",success
lni111,2007,gi-proc-111-017.pdf,0,"The article discusses the current state and perspectives of eLearning infrastructure at German universities, focusing on organizational and pedagogical frameworks, as well as IT infrastructure. It does not mention any specific research software, source code, algorithms, or computational workflows developed during the research process.",success
lni111,2007,gi-proc-111-018.pdf,0,"The article discusses the sustainability of E-Learning infrastructures and presents a taxonomy of factors influencing this sustainability. However, it does not mention any specific research software, source code, algorithms, or computational workflows created during the research process. The focus is primarily on theoretical analysis and organizational aspects rather than on the development or use of research software.",success
lni111,2007,gi-proc-111-019.pdf,1,"The article discusses the development of the koaLA platform, which is described as a co-active learning and working environment based on the open-source server open-sTeam. It details the software architecture, functionalities, and integration of various tools, indicating that it involves the creation and use of research software for educational purposes.",success
lni111,2007,gi-proc-111-020.pdf,0,"The article discusses the use of podcasts in educational settings and evaluates their effectiveness, but it does not mention any specific research software, source code, algorithms, or computational workflows created during the research process.",success
lni111,2007,gi-proc-111-021.pdf,1,"The article discusses the 'Medi@rena Composer,' which is described as a framework for cooperative knowledge organization based on the Eclipse Rich Client Platform. It details the technical foundations and architecture of this software, indicating that it was developed for research and educational purposes. The mention of specific components, plugins, and the use of the Eclipse SDK suggests that it includes source code and software developed during the research process.",success
lni111,2007,gi-proc-111-022.pdf,0,"The article discusses the design and evaluation of negotiation support functionalities in CSCL systems but does not provide any source code, algorithms, scripts, or executables. It focuses on theoretical principles and evaluations of existing systems rather than presenting new research software.",success
lni111,2007,gi-proc-111-023.pdf,1,"The article discusses the development of a prototype platform (APOSDLE) that integrates various components for workplace-oriented collaborative learning, including a client/server architecture implemented in Java and C#. This indicates the presence of research software as it involves the creation of software tools and systems for research purposes.",success
lni111,2007,gi-proc-111-024.pdf,1,"The article describes the OSOTIS video search engine, which involves automatic content-based annotation of video data and includes functionalities such as collaborative tagging and synchronization with presentation materials. This indicates the presence of software developed for research purposes, specifically for enhancing video search capabilities and educational content management.",success
lni111,2007,gi-proc-111-025.pdf,1,"The article describes an adaptation tool implemented as a wizard that assists users in modifying existing e-learning materials. This tool is part of a project and involves automation and user guidance, indicating that it includes software components developed for research purposes.",success
lni111,2007,gi-proc-111-026.pdf,1,"The article discusses the development of recording and diagnostic software (TrackingKara and EvalKara) specifically designed to support learners in solving algorithmic problems. This indicates the presence of research software created for educational purposes, fulfilling the criteria of including source code and algorithms.",success
lni111,2007,gi-proc-111-027.pdf,0,"The article discusses a security model for electronic examinations and outlines various security requirements and mechanisms. However, it does not mention any specific research software, source code, algorithms, or computational workflows that were created or used during the research process.",success
lni111,2007,gi-proc-111-028.pdf,1,"The article discusses the development and integration of a machine learning-based architecture for real-time E-learning, specifically mentioning the use of software hooks and algorithms for predicting user tasks based on sensor data from desktop interactions. This indicates the presence of research software components, such as algorithms and potentially scripts, that were created for the research purpose of enhancing E-learning systems.",success
lni111,2007,gi-proc-111-029.pdf,1,"The article describes the development of a web-based interactive learning platform (CLab) that includes various learning applications (ILAP) and a graphical authoring tool for creating sentence completion tests (SET). These components indicate the presence of software developed for educational and research purposes, fulfilling the criteria for research software.",success
