lni_edition,year,filename,label_research_software,label_research_software_justification,label_software_evaluation,label_software_evaluation_justification,label_empirical_study,label_empirical_study_justification,status
lni111,2007,gi-proc-111-001.pdf,1,"The article discusses the implementation of computer-supported collaborative learning (CSCL) scripts, which are a form of research software designed to facilitate cooperative learning in distributed environments. It describes the modeling and representation of these scripts, indicating that source code and algorithms were created for research purposes.",1,"The article evaluates the effectiveness of different types of CSCL scripts (formal vs. informal) in a field study, assessing their impact on learning outcomes. This evaluation of the software's quality characteristics is a key focus of the research.",1,"The article presents a field study that tests hypotheses regarding the effectiveness of CSCL scripts in educational settings. It employs empirical methods to collect and analyze data on student performance, making it an empirical study.",success
lni111,2007,gi-proc-111-002.pdf,1,"The article discusses the use of Optimal-Matching analysis and Markov processes for analyzing E-Learning navigation sequences, indicating the presence of algorithms and computational methods that can be classified as research software.",0,"While the article describes the methodology and application of the Optimal-Matching analysis, it does not provide an evaluation of the software's quality characteristics or performance metrics.",1,"The article presents an empirical study by analyzing navigational processes in E-Learning environments using data derived from user interactions, which aligns with the criteria for empirical research.",success
lni111,2007,gi-proc-111-003.pdf,1,"The article describes the development of the EDL-Editor, a software application designed for the automatic editing of lecture videos, which qualifies as research software created for a specific research purpose.",1,"The article evaluates the functionality and effectiveness of the EDL-Editor, discussing its performance in automatically identifying cut positions and the accuracy of its algorithms, which indicates a focus on quality characteristics of the software.",1,"The article presents empirical findings based on the application of the EDL-Editor to real lecture videos, including tests and results that demonstrate its effectiveness, thus qualifying it as an empirical study.",success
lni111,2007,gi-proc-111-004.pdf,1,"The article discusses the development of a collaborative notetaking system that allows for various input modalities, including handwritten input and typed input. This indicates the presence of research software created for the purpose of enhancing notetaking in eLearning environments.",0,"While the article presents findings related to notetaking systems, it does not evaluate the quality characteristics of the software developed or used in the study. There is no assessment of the software's performance or effectiveness based on specific criteria.",1,"The article reports on a study that investigates notetaking practices among students, employing a quantitative questionnaire to gather data. This aligns with the definition of an empirical study, as it involves hypothesis-testing and descriptive analysis of the collected data.",success
lni111,2007,gi-proc-111-005.pdf,0,"The article discusses Open Educational Resources (OER) and their implications in education but does not mention any specific research software, algorithms, or computational tools developed as part of the research process.",0,There is no evaluation of any research software in the article. The focus is on discussing the concept and implications of OER rather than assessing the quality or effectiveness of any software.,0,The article does not present an empirical study. It is more of a theoretical discussion on OER and their impact on education rather than reporting on empirical research findings or methodologies.,success
lni111,2007,gi-proc-111-006.pdf,1,"The article discusses the use of a learning platform and a content management system, which implies the presence of software tools developed or utilized for educational purposes.",0,"While the article describes the implementation of software in the educational context, it does not provide an evaluation of the software's quality characteristics or effectiveness.",1,"The article presents a structured approach to tutoring in e-learning, including data from student surveys, which indicates that it employs empirical methods to assess the effectiveness of the tutoring concept.",success
lni111,2007,gi-proc-111-007.pdf,1,"The article describes the development of a Self-Assessment tool for students, which involves the creation of a software instrument that allows users to evaluate their study capabilities. This indicates the presence of research software.",1,"The article discusses the evaluation of the Self-Assessment tool's effectiveness by comparing the results of the assessments with actual student performance data, indicating that the quality of the software is being assessed.",1,"The article presents an empirical study by analyzing data collected from users of the Self-Assessment tool and correlating it with academic performance, which aligns with the criteria for empirical research.",success
lni111,2007,gi-proc-111-008.pdf,1,"The article discusses the e-learning tool MatES, which is a research software developed for teaching mathematics. It includes a semantic search engine and a multimedia knowledge database, indicating the presence of research software.",1,"The article evaluates the effectiveness of MatES through an experiment with students, measuring improvements in their academic performance and gathering feedback on the software's usability and effectiveness, which constitutes an evaluation of the software.",1,"The article describes an empirical study involving a controlled experiment with students using MatES to learn mathematics. It includes hypothesis testing and statistical analysis of the students' performance before and after using the software, fitting the criteria for empirical research.",success
lni111,2007,gi-proc-111-009.pdf,1,"The article discusses the development of CaseML, a markup language designed for creating multimedia and modular case studies in business education, which qualifies as research software.",1,"The article evaluates the effectiveness and flexibility of CaseML in meeting the project requirements, indicating a focus on quality characteristics of the software.",1,"The article describes the implementation of CaseML in real educational settings, which involves empirical research through the application of the software in various teaching scenarios.",success
lni111,2007,gi-proc-111-010.pdf,0,"The article discusses various system categories for content creation and management in eLearning but does not present any specific research software, source code, or computational workflows developed during the research process.",0,The article does not evaluate any specific research software or its quality characteristics; it primarily focuses on the challenges and considerations related to content migration between different systems.,0,"The article is not an empirical study; it does not involve hypothesis testing, statistical methods, or any empirical research processes. Instead, it provides a theoretical discussion on content management systems and migration issues.",success
